Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Israel,Price / Israel,Compare At Price / Israel,Status
mood-energy,mood ENERGY — פורמולת אנרגיה,"<p>שוקולד מריר 70% קקאו עם פורמולה בוטנית מדויקת לרגע של אנרגיה — קפאין טבעי מ־מאקה וגוארנה, ל־תיאנין מתה ירוק, מגנזיום, ג׳ינסנג. 0 גרם סוכר.</p><ul><li>25 מ״ג קפאין טבעי לקובייה</li><li>0 גרם סוכר · כשר פרווה</li><li>תוצרת ישראל · פורמולה בוטנית</li></ul>",MOOD,Food, Beverages & Tobacco > Food Items,Ritual Chocolate,"ENERGY, botanical, kosher-parve, made-in-israel, mood-formula, ritual-chocolate",TRUE,גודל,30 קוביות,,,,,MOOD-ENERGY-30,150,shopify,0,continue,manual,170.00,,TRUE,TRUE,,https://moodritualchocolate.github.io/mood-web/home-assets/cx/mood-pouch-energy.jpg,1,mood ENERGY 30 קוביות,FALSE,mood ENERGY — פורמולת אנרגיה טבעית,"שוקולד ריטואל של mood לרגע האנרגיה — 70% קקאו, קפאין טבעי, 0 סוכר, כשר פרווה, תוצרת ישראל.",Food Items,,,,new,,https://moodritualchocolate.github.io/mood-web/home-assets/cx/mood-pouch-energy.jpg,g,,60.00,TRUE,170.00,,active
mood-energy,,,,,,,,,60 קוביות,,,,,MOOD-ENERGY-60,300,shopify,0,continue,manual,310.00,340.00,TRUE,TRUE,,,,,,,,,,,,,,,,g,,110.00,TRUE,310.00,340.00,
mood-energy,,,,,,,,,90 קוביות,,,,,MOOD-ENERGY-90,450,shopify,0,continue,manual,420.00,510.00,TRUE,TRUE,,,,,,,,,,,,,,,,g,,150.00,TRUE,420.00,510.00,
mood-relax,mood RELAX — פורמולת רגיעה,"<p>שוקולד מריר 70% קקאו עם פורמולה עדינה שמסמנת לגוף להוריד הילוך — אשווגנדה, ל־תיאנין, מגנזיום, קמומיל. 0 גרם סוכר, ללא קפאין.</p><ul><li>אדפטוגנים לרגיעה יומית</li><li>0 גרם סוכר · כשר פרווה</li><li>תוצרת ישראל · פורמולה בוטנית</li></ul>",MOOD,Food, Beverages & Tobacco > Food Items,Ritual Chocolate,"RELAX, botanical, kosher-parve, made-in-israel, mood-formula, ritual-chocolate",TRUE,גודל,30 קוביות,,,,,MOOD-RELAX-30,150,shopify,0,continue,manual,170.00,,TRUE,TRUE,,https://moodritualchocolate.github.io/mood-web/home-assets/cx/mood-pouch-relax.jpg,1,mood RELAX 30 קוביות,FALSE,mood RELAX — פורמולת רגיעה,"שוקולד ריטואל של mood לרגע הרגיעה — אשווגנדה, ל־תיאנין, 0 סוכר, כשר פרווה, תוצרת ישראל.",Food Items,,,,new,,https://moodritualchocolate.github.io/mood-web/home-assets/cx/mood-pouch-relax.jpg,g,,60.00,TRUE,170.00,,active
mood-relax,,,,,,,,,60 קוביות,,,,,MOOD-RELAX-60,300,shopify,0,continue,manual,310.00,340.00,TRUE,TRUE,,,,,,,,,,,,,,,,g,,110.00,TRUE,310.00,340.00,
mood-relax,,,,,,,,,90 קוביות,,,,,MOOD-RELAX-90,450,shopify,0,continue,manual,420.00,510.00,TRUE,TRUE,,,,,,,,,,,,,,,,g,,150.00,TRUE,420.00,510.00,
mood-sleep,mood SLEEP — פורמולת שינה,"<p>שוקולד מריר 70% קקאו עם פורמולה שקטה למעבר עדין לשינה — מלטונין, GABA, מגנזיום, קמומיל. 0 גרם סוכר, ללא קפאין.</p><ul><li>0.5 מ״ג מלטונין לקובייה</li><li>0 גרם סוכר · כשר פרווה</li><li>תוצרת ישראל · פורמולה בוטנית</li></ul>",MOOD,Food, Beverages & Tobacco > Food Items,Ritual Chocolate,"SLEEP, botanical, kosher-parve, made-in-israel, mood-formula, ritual-chocolate",TRUE,גודל,30 קוביות,,,,,MOOD-SLEEP-30,150,shopify,0,continue,manual,170.00,,TRUE,TRUE,,https://moodritualchocolate.github.io/mood-web/home-assets/cx/mood-pouch-sleep.jpg,1,mood SLEEP 30 קוביות,FALSE,mood SLEEP — פורמולת שינה,"שוקולד ריטואל של mood לרגע השינה — מלטונין, GABA, 0 סוכר, כשר פרווה, תוצרת ישראל.",Food Items,,,,new,,https://moodritualchocolate.github.io/mood-web/home-assets/cx/mood-pouch-sleep.jpg,g,,60.00,TRUE,170.00,,active
mood-sleep,,,,,,,,,60 קוביות,,,,,MOOD-SLEEP-60,300,shopify,0,continue,manual,310.00,340.00,TRUE,TRUE,,,,,,,,,,,,,,,,g,,110.00,TRUE,310.00,340.00,
mood-sleep,,,,,,,,,90 קוביות,,,,,MOOD-SLEEP-90,450,shopify,0,continue,manual,420.00,510.00,TRUE,TRUE,,,,,,,,,,,,,,,,g,,150.00,TRUE,420.00,510.00,
mood-full-day,היום המלא — חבילת התנסות,"<p>3 פורמולות · 30 יחידות · מסע ריטואל של יום שלם. חבילה מיוחדת שמאפשרת להתנסות בכל שלוש הפורמולות של mood במהלך יום אחד — ENERGY לבוקר, RELAX לצהריים, SLEEP לערב.</p><ul><li>10 קוביות מכל פורמולה</li><li>0 גרם סוכר · 70% קקאו</li><li>אריזה אלגנטית · מתאים כמתנה</li></ul>",MOOD,Food, Beverages & Tobacco > Food Items,Ritual Chocolate Bundle,"FULL-DAY, bundle, gift, kosher-parve, made-in-israel, mood-formula",TRUE,חבילה,3 פורמולות · 30 יחידות,,,,,MOOD-FULL-DAY-30,150,shopify,0,continue,manual,170.00,220.00,TRUE,TRUE,,https://moodritualchocolate.github.io/mood-web/home-assets/cx/mood-pouch-energy.jpg,1,היום המלא — חבילת התנסות,FALSE,היום המלא — חבילת התנסות MOOD,"3 פורמולות של mood ליום שלם — ENERGY, RELAX, SLEEP. 30 קוביות סה״כ, 0 סוכר.",Food Items,,,,new,,https://moodritualchocolate.github.io/mood-web/home-assets/cx/mood-pouch-energy.jpg,g,,55.00,TRUE,170.00,220.00,active
